,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
10244,4,1,2,18.197464,80.898398,Armed Assault,3,Police,5,Firearms
10245,4,1,1,22.192452,87.723704,Assassination,14,Private Citizens & Property,13,Unknown
10246,4,1,3,33.786995000000005,75.099436,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10247,4,0,3,8.169375,77.264315,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10248,4,0,9,19.595851,81.663777,Unknown,14,Private Citizens & Property,13,Unknown
10249,4,0,3,8.815466,76.668576,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives/Bombs/Dynamite
10250,4,0,1,24.817011,93.936844,Assassination,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10251,4,1,7,23.854371,85.442502,Facility/Infrastructure Attack,1,Business,8,Incendiary
10252,4,1,6,18.813346,82.712303,Hostage Taking (Kidnapping),14,Private Citizens & Property,9,Melee
10253,4,1,7,21.813465,80.182971,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
10254,4,1,7,21.20608,83.565896,Facility/Infrastructure Attack,1,Business,8,Incendiary
10255,4,0,3,23.704919,87.079049,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10256,4,1,6,24.743517,93.417638,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10257,4,1,3,24.814834,93.94976,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10258,4,1,3,18.985771,80.987298,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10259,4,1,2,19.226636,80.18025,Armed Assault,2,Government (General),5,Firearms
10260,4,1,2,21.096770000000006,81.028437,Armed Assault,1,Business,5,Firearms
10261,4,1,3,18.39136,81.65856099999998,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10262,4,1,6,22.049412,80.716078,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10263,4,1,3,20.199012,81.075466,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10264,4,0,3,17.809266,81.382078,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10265,4,0,3,25.016801,88.100334,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10266,4,1,1,22.872841,88.037701,Assassination,14,Private Citizens & Property,5,Firearms
10267,4,1,2,33.717806,74.83614,Armed Assault,14,Private Citizens & Property,5,Firearms
10268,4,1,2,18.970836,81.970832,Armed Assault,15,Religious Figures/Institutions,8,Incendiary
10269,4,1,3,18.245675,81.318497,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10270,4,0,3,24.780654,93.967437,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10271,4,0,3,19.356448,81.529323,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10272,4,1,6,20.509133,82.593538,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
10273,4,1,3,12.888136,74.85582600000002,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10274,4,0,2,22.541154,79.59391,Armed Assault,15,Religious Figures/Institutions,5,Firearms
10275,4,1,3,24.214089,94.267636,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10276,4,1,3,22.650028,86.360299,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10277,4,1,3,26.788169,82.716409,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10278,4,1,3,18.010367000000006,81.098156,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10279,4,0,2,33.926001,74.902562,Armed Assault,3,Police,5,Firearms
10280,4,1,3,24.817743,93.920653,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10281,4,1,3,11.922591,79.80693199999997,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10282,4,1,2,22.362148,85.438748,Armed Assault,14,Private Citizens & Property,5,Firearms
10283,4,1,3,25.594113,85.137677,Bombing/Explosion,8,Educational Institution,6,Explosives/Bombs/Dynamite
10284,4,1,1,19.121472,81.868666,Assassination,2,Government (General),5,Firearms
10285,4,1,3,23.430881,88.631941,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10286,4,0,3,18.845512,81.384153,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10287,4,1,3,22.721963,88.48200200000002,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10288,4,1,6,20.215441,80.144254,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
10289,4,1,6,20.489143,80.374216,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
10290,4,1,7,19.413406,80.005859,Facility/Infrastructure Attack,1,Business,8,Incendiary
10292,4,1,6,24.838268,93.914096,Hostage Taking (Kidnapping),2,Government (General),5,Firearms
10293,4,0,2,25.649202,90.492493,Armed Assault,3,Police,5,Firearms
10294,4,1,3,33.736475,75.156061,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10295,4,1,3,27.568066,95.328234,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10296,4,1,3,27.49412,95.359204,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10297,4,1,3,18.795773,80.81881700000002,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10298,4,1,3,24.812164000000006,93.948651,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10299,4,1,3,25.552068,84.66045799999998,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10300,4,1,6,20.055066,80.47310300000002,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
10301,5,0,3,23.620126000000006,85.295272,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10302,5,0,3,22.052971,85.163949,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
10303,5,1,2,23.120971,85.0701,Armed Assault,14,Private Citizens & Property,5,Firearms
10304,5,1,3,24.181628,86.286558,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10305,5,1,3,24.659167,84.74972199999998,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10306,5,1,6,26.224184,93.776314,Hostage Taking (Kidnapping),12,NGO,13,Unknown
10307,5,1,3,24.698797,93.787358,Bombing/Explosion,14,Private Citizens & Property,6,Explosives/Bombs/Dynamite
10309,5,1,6,24.245887,93.638413,Hostage Taking (Kidnapping),2,Government (General),13,Unknown
